hs angle
3.786455550000000130e+03 0.000000000000000000e+00
3.786457578999999896e+03 1.000000000000000000e+00
3.786480519000000186e+03 2.000000000000000000e+00
3.786518837999999960e+03 3.000000000000000000e+00
3.786572455999999875e+03 4.000000000000000000e+00
3.786641121999999996e+03 5.000000000000000000e+00
3.786724494999999933e+03 6.000000000000000000e+00
3.786822682999999870e+03 7.000000000000000000e+00
3.786936074000000190e+03 8.000000000000000000e+00
3.787064875000000029e+03 9.000000000000000000e+00
3.787208209999999781e+03 1.000000000000000000e+01
3.789415907999999945e+03 2.000000000000000000e+01
3.792872694000000138e+03 3.000000000000000000e+01
3.799714735999999903e+03 4.500000000000000000e+01
3.816155882000000020e+03 9.000000000000000000e+01
