hs_norm Squishy ar1s ar2s ar3s
4.018174250999999913e+03 1.400000000000000133e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
4.004398896000000150e+03 1.449999999999999900e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
4.001498199000000113e+03 1.499999999999999944e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999685503000000153e+03 1.549999999999999989e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.998553691000000072e+03 1.600000000000000033e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.998011191999999937e+03 1.650000000000000078e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.997846770999999990e+03 1.700000000000000122e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.997909788999999819e+03 1.749999999999999889e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.998108126000000084e+03 1.799999999999999933e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.998661161999999877e+03 1.900000000000000022e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999204189999999926e+03 2.000000000000000111e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999629241999999977e+03 2.099999999999999922e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999901436999999987e+03 2.200000000000000011e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
4.000044712999999774e+03 2.300000000000000100e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
4.000091554999999971e+03 2.399999999999999911e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
4.000059737999999925e+03 2.500000000000000000e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999989914000000226e+03 2.600000000000000089e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999898032000000057e+03 2.700000000000000178e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999796558999999888e+03 2.800000000000000266e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999709124999999858e+03 2.899999999999999800e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999628967000000102e+03 2.999999999999999889e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999565794999999980e+03 3.099999999999999978e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999524566000000050e+03 3.200000000000000067e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999490150000000085e+03 3.300000000000000155e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999474001000000044e+03 3.400000000000000244e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999467095999999856e+03 3.499999999999999778e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999461154999999962e+03 3.599999999999999867e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999466874000000189e+03 3.699999999999999956e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999468284999999923e+03 3.800000000000000044e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999470319999999901e+03 3.900000000000000133e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999477253000000019e+03 4.000000000000000222e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999474583000000166e+03 4.099999999999999756e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999476510999999846e+03 4.199999999999999845e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999477378999999928e+03 4.299999999999999933e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999471641999999974e+03 4.400000000000000022e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999473484999999982e+03 4.500000000000000111e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
3.999469231999999920e+03 4.600000000000000200e-01 5.200000000000000000e+01 9.000000000000000000e+01 2.500000000000000000e+01
